sequence,phase,native_x_mm,native_y_mm,map_x_mm,map_y_mm,contact,trigger_z_mm,stage_reference_z_mm,height_above_stage_mm,edges
1,COARSE,15.5,210.0,0.0,0.0,False,,28.4,,0
2,COARSE,35.5,210.0,20.0,0.0,False,,28.39147121535181,,0
3,COARSE,55.5,210.0,40.0,0.0,False,,28.382942430703622,,0
4,COARSE,75.5,210.0,60.0,0.0,False,,28.374413646055437,,0
5,COARSE,95.5,210.0,80.0,0.0,False,,28.36588486140725,,0
6,COARSE,115.5,210.0,100.0,0.0,False,,28.35735607675906,,0
7,COARSE,135.5,210.0,120.0,0.0,False,,28.348827292110872,,0
8,COARSE,155.5,210.0,140.0,0.0,False,,28.340298507462688,,0
9,COARSE,175.5,210.0,160.0,0.0,False,,28.3317697228145,,0
10,COARSE,195.5,210.0,180.0,0.0,False,,28.32324093816631,,0
11,COARSE,215.5,210.0,200.0,0.0,False,,28.314712153518123,,0
12,COARSE,235.5,210.0,220.0,0.0,False,,28.306183368869938,,0
13,COARSE,250.0,210.0,234.5,0.0,False,,28.3,,0
14,COARSE,250.0,192.5,234.5,17.5,False,,28.255696202531645,,0
15,COARSE,235.5,192.5,220.0,17.5,False,,28.26270141156784,,0
16,COARSE,215.5,192.5,200.0,17.5,False,,28.27236376885914,,0
17,COARSE,195.5,192.5,180.0,17.5,False,,28.28202612615044,,0
18,COARSE,175.5,192.5,160.0,17.5,False,,28.291688483441742,,0
19,COARSE,155.5,192.5,140.0,17.5,False,,28.301350840733043,,0
20,COARSE,135.5,192.5,120.0,17.5,False,,28.311013198024344,,0
21,COARSE,115.5,192.5,100.0,17.5,False,,28.320675555315646,,0
22,COARSE,95.5,192.5,80.0,17.5,False,,28.330337912606947,,0
23,COARSE,75.5,192.5,60.0,17.5,False,,28.340000269898248,,0
24,COARSE,55.5,192.5,40.0,17.5,False,,28.34966262718955,,0
25,COARSE,35.5,192.5,20.0,17.5,False,,28.35932498448085,,0
26,COARSE,15.5,192.5,0.0,17.5,False,,28.36898734177215,,0
27,COARSE,15.5,172.5,0.0,37.5,False,,28.333544303797467,,0
28,COARSE,35.5,172.5,20.0,37.5,False,,28.322586434914037,,0
29,COARSE,55.5,172.5,40.0,37.5,False,,28.311628566030606,,0
30,COARSE,75.5,172.5,60.0,37.5,False,,28.300670697147176,,0
31,COARSE,95.5,172.5,80.0,37.5,False,,28.289712828263745,,0
32,COARSE,115.5,172.5,100.0,37.5,False,,28.27875495938031,,0
33,COARSE,135.5,172.5,120.0,37.5,False,,28.26779709049688,,0
34,COARSE,155.5,172.5,140.0,37.5,False,,28.256839221613454,,0
35,COARSE,175.5,172.5,160.0,37.5,False,,28.24588135273002,,0
36,COARSE,195.5,172.5,180.0,37.5,False,,28.23492348384659,,0
37,COARSE,215.5,172.5,200.0,37.5,False,,28.22396561496316,,0
38,COARSE,235.5,172.5,220.0,37.5,False,,28.21300774607973,,0
39,COARSE,250.0,172.5,234.5,37.5,False,,28.20506329113924,,0
40,COARSE,250.0,152.5,234.5,57.5,False,,28.154430379746834,,0
41,COARSE,235.5,152.5,220.0,57.5,False,,28.16331408059162,,0
42,COARSE,215.5,152.5,200.0,57.5,False,,28.17556746106718,,0
43,COARSE,195.5,152.5,180.0,57.5,False,,28.187820841542738,,0
44,COARSE,175.5,152.5,160.0,57.5,False,,28.2000742220183,,0
45,COARSE,155.5,152.5,140.0,57.5,False,,28.21232760249386,,0
46,COARSE,135.5,152.5,120.0,57.5,False,,28.22458098296942,,0
47,COARSE,115.5,152.5,100.0,57.5,False,,28.23683436344498,,0
48,COARSE,95.5,152.5,80.0,57.5,False,,28.24908774392054,,0
49,COARSE,75.5,152.5,60.0,57.5,False,,28.261341124396104,,0
50,COARSE,55.5,152.5,40.0,57.5,False,,28.27359450487166,,0
51,COARSE,35.5,152.5,20.0,57.5,False,,28.285847885347223,,0
52,COARSE,15.5,152.5,0.0,57.5,False,,28.298101265822783,,0
53,COARSE,15.5,132.5,0.0,77.5,False,,28.2626582278481,,0
54,COARSE,35.5,132.5,20.0,77.5,False,,28.24910933578041,,0
55,COARSE,55.5,132.5,40.0,77.5,False,,28.235560443712718,,0
56,COARSE,75.5,132.5,60.0,77.5,False,,28.222011551645032,,0
57,COARSE,95.5,132.5,80.0,77.5,False,,28.20846265957734,,0
58,COARSE,115.5,132.5,100.0,77.5,False,,28.19491376750965,,0
59,COARSE,135.5,132.5,120.0,77.5,False,,28.181364875441957,,0
60,COARSE,155.5,132.5,140.0,77.5,False,,28.16781598337427,,0
61,COARSE,175.5,132.5,160.0,77.5,True,39.61,28.15426709130658,11.45573290869342,1
62,COARSE,195.5,132.5,180.0,77.5,True,39.61,28.140718199238886,11.469281800761113,1
63,COARSE,215.5,132.5,200.0,77.5,False,,28.127169307171197,,0
64,COARSE,235.5,132.5,220.0,77.5,False,,28.113620415103508,,0
65,COARSE,250.0,132.5,234.5,77.5,False,,28.103797468354433,,0
66,COARSE,250.0,112.5,234.5,97.5,False,,28.053164556962027,,0
67,COARSE,235.5,112.5,220.0,97.5,False,,28.063926749615398,,0
68,COARSE,215.5,112.5,200.0,97.5,False,,28.078771153275216,,0
69,COARSE,195.5,112.5,180.0,97.5,False,,28.093615556935035,,0
70,COARSE,175.5,112.5,160.0,97.5,False,,28.108459960594857,,0
71,COARSE,155.5,112.5,140.0,97.5,False,,28.12330436425468,,0
72,COARSE,135.5,112.5,120.0,97.5,False,,28.138148767914497,,0
73,COARSE,115.5,112.5,100.0,97.5,False,,28.152993171574316,,0
74,COARSE,95.5,112.5,80.0,97.5,False,,28.167837575234138,,0
75,COARSE,75.5,112.5,60.0,97.5,False,,28.182681978893957,,0
76,COARSE,55.5,112.5,40.0,97.5,False,,28.197526382553775,,0
77,COARSE,35.5,112.5,20.0,97.5,False,,28.212370786213597,,0
78,COARSE,15.5,112.5,0.0,97.5,False,,28.227215189873416,,0
79,COARSE,15.5,92.5,0.0,117.5,False,,28.191772151898736,,0
80,COARSE,35.5,92.5,20.0,117.5,False,,28.175632236646784,,0
81,COARSE,55.5,92.5,40.0,117.5,False,,28.159492321394833,,0
82,COARSE,75.5,92.5,60.0,117.5,True,38.61,28.143352406142885,10.466647593857115,1
83,COARSE,95.5,92.5,80.0,117.5,False,,28.127212490890933,,0
84,COARSE,115.5,92.5,100.0,117.5,False,,28.111072575638985,,0
85,COARSE,135.5,92.5,120.0,117.5,False,,28.094932660387034,,0
86,COARSE,155.5,92.5,140.0,117.5,False,,28.078792745135086,,0
87,COARSE,175.5,92.5,160.0,117.5,False,,28.062652829883135,,0
88,COARSE,195.5,92.5,180.0,117.5,False,,28.046512914631187,,0
89,COARSE,215.5,92.5,200.0,117.5,False,,28.030372999379235,,0
90,COARSE,235.5,92.5,220.0,117.5,False,,28.014233084127287,,0
91,COARSE,250.0,92.5,234.5,117.5,False,,28.002531645569622,,0
92,COARSE,250.0,72.5,234.5,137.5,False,,27.951898734177217,,0
93,COARSE,235.5,72.5,220.0,137.5,False,,27.964539418639173,,0
94,COARSE,215.5,72.5,200.0,137.5,False,,27.981974845483254,,0
95,COARSE,195.5,72.5,180.0,137.5,False,,27.999410272327335,,0
96,COARSE,175.5,72.5,160.0,137.5,False,,28.016845699171412,,0
97,COARSE,155.5,72.5,140.0,137.5,False,,28.034281126015493,,0
98,COARSE,135.5,72.5,120.0,137.5,False,,28.051716552859574,,0
99,COARSE,115.5,72.5,100.0,137.5,False,,28.06915197970365,,0
100,COARSE,95.5,72.5,80.0,137.5,False,,28.086587406547732,,0
101,COARSE,75.5,72.5,60.0,137.5,True,38.11,28.104022833391813,10.005977166608186,1
102,COARSE,55.5,72.5,40.0,137.5,False,,28.12145826023589,,0
103,COARSE,35.5,72.5,20.0,137.5,False,,28.13889368707997,,0
104,COARSE,15.5,72.5,0.0,137.5,False,,28.156329113924052,,0
105,COARSE,15.5,52.5,0.0,157.5,False,,28.120886075949368,,0
106,COARSE,35.5,52.5,20.0,157.5,False,,28.102155137513158,,0
107,COARSE,55.5,52.5,40.0,157.5,False,,28.083424199076948,,0
108,COARSE,75.5,52.5,60.0,157.5,False,,28.06469326064074,,0
109,COARSE,95.5,52.5,80.0,157.5,False,,28.04596232220453,,0
110,COARSE,115.5,52.5,100.0,157.5,False,,28.02723138376832,,0
111,COARSE,135.5,52.5,120.0,157.5,False,,28.00850044533211,,0
112,COARSE,155.5,52.5,140.0,157.5,False,,27.9897695068959,,0
113,COARSE,175.5,52.5,160.0,157.5,False,,27.971038568459694,,0
114,COARSE,195.5,52.5,180.0,157.5,False,,27.952307630023483,,0
115,COARSE,215.5,52.5,200.0,157.5,False,,27.933576691587273,,0
116,COARSE,235.5,52.5,220.0,157.5,False,,27.914845753151063,,0
117,COARSE,250.0,52.5,234.5,157.5,False,,27.90126582278481,,0
118,COARSE,250.0,32.5,234.5,177.5,False,,27.850632911392406,,0
119,COARSE,235.5,32.5,220.0,177.5,False,,27.865152087662953,,0
120,COARSE,215.5,32.5,200.0,177.5,False,,27.885178537691292,,0
121,COARSE,195.5,32.5,180.0,177.5,False,,27.90520498771963,,0
122,COARSE,175.5,32.5,160.0,177.5,False,,27.92523143774797,,0
123,COARSE,155.5,32.5,140.0,177.5,False,,27.94525788777631,,0
124,COARSE,135.5,32.5,120.0,177.5,False,,27.96528433780465,,0
125,COARSE,115.5,32.5,100.0,177.5,False,,27.985310787832987,,0
126,COARSE,95.5,32.5,80.0,177.5,False,,28.005337237861326,,0
127,COARSE,75.5,32.5,60.0,177.5,False,,28.025363687889666,,0
128,COARSE,55.5,32.5,40.0,177.5,False,,28.045390137918005,,0
129,COARSE,35.5,32.5,20.0,177.5,False,,28.065416587946345,,0
130,COARSE,15.5,32.5,0.0,177.5,False,,28.085443037974684,,0
131,COARSE,15.5,12.5,0.0,197.5,False,,28.05,,0
132,COARSE,35.5,12.5,20.0,197.5,False,,28.02867803837953,,0
133,COARSE,55.5,12.5,40.0,197.5,False,,28.007356076759063,,0
134,COARSE,75.5,12.5,60.0,197.5,False,,27.986034115138594,,0
135,COARSE,95.5,12.5,80.0,197.5,False,,27.964712153518125,,0
136,COARSE,115.5,12.5,100.0,197.5,False,,27.943390191897656,,0
137,COARSE,135.5,12.5,120.0,197.5,False,,27.922068230277187,,0
138,COARSE,155.5,12.5,140.0,197.5,False,,27.900746268656718,,0
139,COARSE,175.5,12.5,160.0,197.5,False,,27.87942430703625,,0
140,COARSE,195.5,12.5,180.0,197.5,False,,27.85810234541578,,0
141,COARSE,215.5,12.5,200.0,197.5,False,,27.83678038379531,,0
142,COARSE,235.5,12.5,220.0,197.5,False,,27.815458422174842,,0
143,COARSE,250.0,12.5,234.5,197.5,False,,27.8,,0
144,MAGNET_1,58.0,65.0,42.5,145.0,False,,28.104955331839896,,0
145,MAGNET_1,63.0,65.0,47.5,145.0,False,,28.100475020917116,,0
146,MAGNET_1,68.0,65.0,52.5,145.0,False,,28.095994709994333,,0
147,MAGNET_1,73.0,65.0,57.5,145.0,False,,28.09151439907155,,0
148,MAGNET_1,78.0,65.0,62.5,145.0,False,,28.08703408814877,,0
149,MAGNET_1,83.0,65.0,67.5,145.0,False,,28.082553777225986,,0
150,MAGNET_1,88.0,65.0,72.5,145.0,False,,28.078073466303206,,0
151,MAGNET_1,93.0,65.0,77.5,145.0,False,,28.073593155380422,,0
152,MAGNET_1,93.0,70.0,77.5,140.0,False,,28.08370894172897,,0
153,MAGNET_1,88.0,70.0,72.5,140.0,False,,28.08810828317724,,0
154,MAGNET_1,83.0,70.0,67.5,140.0,False,,28.09250762462552,,0
155,MAGNET_1,78.0,70.0,62.5,140.0,False,,28.096906966073792,,0
156,MAGNET_1,73.0,70.0,57.5,140.0,False,,28.101306307522062,,0
157,MAGNET_1,68.0,70.0,52.5,140.0,False,,28.10570564897034,,0
158,MAGNET_1,63.0,70.0,47.5,140.0,False,,28.110104990418613,,0
159,MAGNET_1,58.0,70.0,42.5,140.0,False,,28.114504331866886,,0
160,MAGNET_1,58.0,75.0,42.5,135.0,False,,28.124053331893876,,0
161,MAGNET_1,63.0,75.0,47.5,135.0,False,,28.11973495992011,,0
162,MAGNET_1,68.0,75.0,52.5,135.0,False,,28.115416587946346,,0
163,MAGNET_1,73.0,75.0,57.5,135.0,True,38.61,28.11109821597258,10.49890178402742,1
