sample_index,timestamp_utc,timestamp_monotonic,x_mm,y_mm,z_mm,trigger_raw,trigger_latched,probe_signal_raw,probe_signal_unit,xy_position_uncertainty_mm,z_position_uncertainty_mm,probe_trigger_repeatability_mm
0,2026-09-12T13:29:12.859151+00:00,10092.812654069,20.0,25.0,120.0,False,False,0.005,mm,0.01,0.0025,0.005
1,2026-09-12T13:29:12.859313+00:00,10092.81281591,22.0,25.0,120.0,False,False,0.007,mm,0.01,0.0025,0.005
2,2026-09-12T13:29:12.859452+00:00,10092.812955047,24.0,25.0,120.0,False,False,0.009000000000000001,mm,0.01,0.0025,0.005
3,2026-09-12T13:29:12.859623+00:00,10092.81312612,26.0,25.0,120.0,False,False,0.005,mm,0.01,0.0025,0.005
4,2026-09-12T13:29:12.859775+00:00,10092.813278121,28.0,25.0,120.0,False,False,0.007,mm,0.01,0.0025,0.005
5,2026-09-12T13:29:12.859931+00:00,10092.81343449,30.0,25.0,120.0,False,False,0.009000000000000001,mm,0.01,0.0025,0.005
6,2026-09-12T13:29:12.860085+00:00,10092.813588523,32.0,25.0,120.0,False,False,0.005,mm,0.01,0.0025,0.005
7,2026-09-12T13:29:12.860122+00:00,10092.813625163,34.0,25.0,120.0,False,False,0.007,mm,0.01,0.0025,0.005
8,2026-09-12T13:29:12.860157+00:00,10092.813660043,36.0,25.0,120.0,False,False,0.009000000000000001,mm,0.01,0.0025,0.005
9,2026-09-12T13:29:12.860192+00:00,10092.813695355,38.0,25.0,120.0,False,False,0.005,mm,0.01,0.0025,0.005
