sample_index,timestamp_utc,timestamp_monotonic,x_mm,y_mm,z_mm,trigger_raw,trigger_latched,probe_signal_raw,probe_signal_unit,xy_position_uncertainty_mm,z_position_uncertainty_mm,probe_trigger_repeatability_mm
0,2026-09-12T13:43:18.868315+00:00,10938.821817928,20.0,20.0,120.05950305567303,False,False,0.0595030556730336,mm,0.01,0.0025,0.005
1,2026-09-12T13:43:18.868762+00:00,10938.822264636,21.0,20.0,120.05981126310463,False,False,0.059811263104634804,mm,0.01,0.0025,0.005
2,2026-09-12T13:43:18.868930+00:00,10938.822433022,22.0,20.0,120.05878819391238,False,False,0.05878819391237755,mm,0.01,0.0025,0.005
3,2026-09-12T13:43:18.869100+00:00,10938.822602687,23.0,20.0,120.0581985630274,False,False,0.05819856302740334,mm,0.01,0.0025,0.005
4,2026-09-12T13:43:18.869267+00:00,10938.822769713,24.0,20.0,120.05971237827468,False,False,0.05971237827468201,mm,0.01,0.0025,0.005
5,2026-09-12T13:43:18.869424+00:00,10938.822927042,25.0,20.0,120.06017498777635,False,False,0.06017498777634955,mm,0.01,0.0025,0.005
6,2026-09-12T13:43:18.869583+00:00,10938.823085876,26.0,20.0,120.06054198050619,False,False,0.06054198050618709,mm,0.01,0.0025,0.005
7,2026-09-12T13:43:18.869741+00:00,10938.823243797,27.0,20.0,120.06317267768512,False,False,0.0631726776851167,mm,0.01,0.0025,0.005
8,2026-09-12T13:43:18.869773+00:00,10938.823276229,28.0,20.0,120.06514784221439,False,False,0.06514784221438674,mm,0.01,0.0025,0.005
9,2026-09-12T13:43:18.869805+00:00,10938.823308582,29.0,20.0,120.06653781544063,False,False,0.06653781544062554,mm,0.01,0.0025,0.005
10,2026-09-12T13:43:18.869841+00:00,10938.823343734,30.0,20.0,120.0902032898048,False,False,0.09020328980480485,mm,0.01,0.0025,0.005
11,2026-09-12T13:43:18.869877+00:00,10938.823380022,31.0,20.0,120.09369298774104,False,False,0.0936929877410364,mm,0.01,0.0025,0.005
12,2026-09-12T13:43:18.869909+00:00,10938.823412247,32.0,20.0,120.09618639961741,False,False,0.09618639961740882,mm,0.01,0.0025,0.005
13,2026-09-12T13:43:18.869941+00:00,10938.823443895,33.0,20.0,120.1008177079752,False,False,0.10081770797519596,mm,0.01,0.0025,0.005
14,2026-09-12T13:43:18.869972+00:00,10938.823475287,34.0,20.0,120.10579886214687,False,False,0.10579886214686951,mm,0.01,0.0025,0.005
15,2026-09-12T13:43:18.870005+00:00,10938.823508728,35.0,20.0,120.1094838628489,False,False,0.10948386284890432,mm,0.01,0.0025,0.005
16,2026-09-12T13:43:18.870036+00:00,10938.823539,36.0,20.0,120.11503071553844,False,False,0.11503071553843824,mm,0.01,0.0025,0.005
17,2026-09-12T13:43:18.870066+00:00,10938.823569048,37.0,20.0,120.1214570315374,False,False,0.12145703153740328,mm,0.01,0.0025,0.005
18,2026-09-12T13:43:18.870097+00:00,10938.823599976,38.0,20.0,120.12642244126997,False,False,0.12642244126996616,mm,0.01,0.0025,0.005
19,2026-09-12T13:43:18.870129+00:00,10938.823632409,39.0,20.0,120.13285720820484,False,False,0.1328572082048396,mm,0.01,0.0025,0.005
20,2026-09-12T13:43:18.870160+00:00,10938.823663209,40.0,20.0,120.14066286217235,False,False,0.14066286217234847,mm,0.01,0.0025,0.005
21,2026-09-12T13:43:18.870192+00:00,10938.823695561,20.0,21.0,120.0563019656778,False,False,0.05630196567780388,mm,0.01,0.0025,0.005
22,2026-09-12T13:43:18.870223+00:00,10938.823726282,21.0,21.0,120.05616659516004,False,False,0.05616659516003608,mm,0.01,0.0025,0.005
23,2026-09-12T13:43:18.870254+00:00,10938.823756922,22.0,21.0,120.0553929194899,False,False,0.0553929194899041,mm,0.01,0.0025,0.005
24,2026-09-12T13:43:18.870285+00:00,10938.823787866,23.0,21.0,120.05503929790372,False,False,0.05503929790371842,mm,0.01,0.0025,0.005
25,2026-09-12T13:43:18.870316+00:00,10938.823819466,24.0,21.0,120.0561072905827,False,False,0.05610729058270181,mm,0.01,0.0025,0.005
26,2026-09-12T13:43:18.870348+00:00,10938.823850795,25.0,21.0,120.0567049460885,False,False,0.05670494608850163,mm,0.01,0.0025,0.005
27,2026-09-12T13:43:18.870378+00:00,10938.823881403,26.0,21.0,120.05740536345182,False,False,0.05740536345182079,mm,0.01,0.0025,0.005
28,2026-09-12T13:43:18.870411+00:00,10938.823913963,27.0,21.0,120.05962350741372,False,False,0.05962350741371836,mm,0.01,0.0025,0.005
29,2026-09-12T13:43:18.870442+00:00,10938.823944764,28.0,21.0,120.06160861274185,False,False,0.06160861274184981,mm,0.01,0.0025,0.005
30,2026-09-12T13:43:18.870474+00:00,10938.823977548,29.0,21.0,120.06340286552111,False,False,0.06340286552111252,mm,0.01,0.0025,0.005
31,2026-09-12T13:43:18.870510+00:00,10938.824013036,30.0,21.0,120.08672191977229,False,False,0.08672191977228749,mm,0.01,0.0025,0.005
32,2026-09-12T13:43:18.870542+00:00,10938.824044876,31.0,21.0,120.09009566142379,False,False,0.09009566142378844,mm,0.01,0.0025,0.005
33,2026-09-12T13:43:18.870572+00:00,10938.824075293,32.0,21.0,120.09303200309532,False,False,0.0930320030953169,mm,0.01,0.0025,0.005
34,2026-09-12T13:43:18.870601+00:00,10938.824104413,33.0,21.0,120.0974106200717,False,False,0.09741062007169887,mm,0.01,0.0025,0.005
35,2026-09-12T13:43:18.870632+00:00,10938.824134781,34.0,21.0,120.10215915788619,False,False,0.10215915788619157,mm,0.01,0.0025,0.005
36,2026-09-12T13:43:18.870660+00:00,10938.824163598,35.0,21.0,120.10629045509197,False,False,0.10629045509196544,mm,0.01,0.0025,0.005
37,2026-09-12T13:43:18.870697+00:00,10938.824200174,36.0,21.0,120.1116984743823,False,False,0.11169847438229397,mm,0.01,0.0025,0.005
38,2026-09-12T13:43:18.870730+00:00,10938.824233214,37.0,21.0,120.1177940440373,False,False,0.11779404403729643,mm,0.01,0.0025,0.005
39,2026-09-12T13:43:18.870762+00:00,10938.824265246,38.0,21.0,120.12317356525854,False,False,0.12317356525853995,mm,0.01,0.0025,0.005
40,2026-09-12T13:43:18.870793+00:00,10938.824296351,39.0,21.0,120.12959441616539,False,False,0.12959441616538925,mm,0.01,0.0025,0.005
41,2026-09-12T13:43:18.870824+00:00,10938.824327119,40.0,21.0,120.1369975408663,False,False,0.13699754086630378,mm,0.01,0.0025,0.005
42,2026-09-12T13:43:18.870876+00:00,10938.824379008,20.0,22.0,120.05414499640769,False,False,0.05414499640768611,mm,0.01,0.0025,0.005
43,2026-09-12T13:43:18.870907+00:00,10938.824409952,21.0,22.0,120.05168362206308,False,False,0.05168362206308075,mm,0.01,0.0025,0.005
44,2026-09-12T13:43:18.870937+00:00,10938.824440512,22.0,22.0,120.05221769915137,False,False,0.05221769915137031,mm,0.01,0.0025,0.005
45,2026-09-12T13:43:18.870968+00:00,10938.824471216,23.0,22.0,120.05310164704521,False,False,0.05310164704521014,mm,0.01,0.0025,0.005
46,2026-09-12T13:43:18.870999+00:00,10938.824502209,24.0,22.0,120.05183186571753,False,False,0.0518318657175314,mm,0.01,0.0025,0.005
47,2026-09-12T13:43:18.871031+00:00,10938.824534593,25.0,22.0,120.05313766625817,False,False,0.053137666258166405,mm,0.01,0.0025,0.005
48,2026-09-12T13:43:18.871061+00:00,10938.824564625,26.0,22.0,120.05558647299603,False,False,0.05558647299602626,mm,0.01,0.0025,0.005
49,2026-09-12T13:43:18.871092+00:00,10938.824595649,27.0,22.0,120.05564129850856,False,False,0.055641298508561476,mm,0.01,0.0025,0.005
50,2026-09-12T13:43:18.871122+00:00,10938.82462517,28.0,22.0,120.05767853072045,False,False,0.057678530720451704,mm,0.01,0.0025,0.005
51,2026-09-12T13:43:18.871152+00:00,10938.824655634,29.0,22.0,120.06159271707352,False,False,0.06159271707352332,mm,0.01,0.0025,0.005
52,2026-09-12T13:43:18.871182+00:00,10938.82468541,30.0,22.0,120.08309523714009,False,False,0.08309523714008549,mm,0.01,0.0025,0.005
53,2026-09-12T13:43:18.871213+00:00,10938.824716003,31.0,22.0,120.08586093512658,False,False,0.08586093512657555,mm,0.01,0.0025,0.005
54,2026-09-12T13:43:18.871244+00:00,10938.824747283,32.0,22.0,120.09111988187807,False,False,0.09111988187807185,mm,0.01,0.0025,0.005
55,2026-09-12T13:43:18.871276+00:00,10938.824779523,33.0,22.0,120.0941734530063,False,False,0.09417345300630586,mm,0.01,0.0025,0.005
56,2026-09-12T13:43:18.871306+00:00,10938.824809347,34.0,22.0,120.09770221301682,False,False,0.09770221301681659,mm,0.01,0.0025,0.005
57,2026-09-12T13:43:18.871338+00:00,10938.82484162,35.0,22.0,120.10417376941957,False,False,0.10417376941957457,mm,0.01,0.0025,0.005
58,2026-09-12T13:43:18.871370+00:00,10938.824872932,36.0,22.0,120.10885378359083,False,False,0.1088537835908312,mm,0.01,0.0025,0.005
59,2026-09-12T13:43:18.871400+00:00,10938.824903236,37.0,22.0,120.11321500810344,False,False,0.11321500810343821,mm,0.01,0.0025,0.005
60,2026-09-12T13:43:18.871430+00:00,10938.824933589,38.0,22.0,120.12076601893273,False,False,0.12076601893272709,mm,0.01,0.0025,0.005
61,2026-09-12T13:43:18.871466+00:00,10938.824969413,39.0,22.0,120.12711389792001,False,False,0.1271138979200117,mm,0.01,0.0025,0.005
62,2026-09-12T13:43:18.871534+00:00,10938.825036997,40.0,22.0,120.13240626707983,False,False,0.13240626707982983,mm,0.01,0.0025,0.005
63,2026-09-12T13:43:18.871569+00:00,10938.825072342,20.0,23.0,120.0500779785256,False,False,0.050077978525592926,mm,0.01,0.0025,0.005
64,2026-09-12T13:43:18.871602+00:00,10938.82510487,21.0,23.0,120.04999610039901,False,False,0.0499961003990137,mm,0.01,0.0025,0.005
65,2026-09-12T13:43:18.871633+00:00,10938.825136038,22.0,23.0,120.0491923496184,False,False,0.04919234961839436,mm,0.01,0.0025,0.005
66,2026-09-12T13:43:18.871663+00:00,10938.825166295,23.0,23.0,120.04881026696519,False,False,0.04881026696519086,mm,0.01,0.0025,0.005
67,2026-09-12T13:43:18.871693+00:00,10938.825196055,24.0,23.0,120.04993202272068,False,False,0.04993202272068231,mm,0.01,0.0025,0.005
68,2026-09-12T13:43:18.871722+00:00,10938.825225575,25.0,23.0,120.05051339262506,False,False,0.0505133926250636,mm,0.01,0.0025,0.005
